type,quantity_account_current,detail_location,estate_quantity,department,city,locality,latitude,longitude,location_address,infrastructure_type,description,registry_number,cadastral_current_account,estate_status,committed_investment,transfer,balance_for_transfer,tenant,rent_amount,rent_amount_period,contract_resolution,contract_number,current_period_start,current_period_end,status_documentation,land_area_mt2,land_area_hectares,land_sub_area,built_area_m2,built_value_gs,property_value_gs,total_value_gs,possession_rent_without_title,created_at,updated_at
RENTA,17,0,16,CAPITAL,ASUNCION,PENDIENTE,0,0,EDIMBURGO 2928 esq. INGLATERRA ,BALDIO,VIVIENDA ,1.745,15-079-20,EN GESTION JUDICIAL,0,0,0,OCUPACION PRECARIA, N/A ,0,EN PROCESO JUDICIAL ,0,0/1/00,0,A,688,0,0,129.53,58.408.501,194.695.003,253.103.504,0,2024-01-26,2024-01-27
RENTA,18,0,17,CAPITAL,ASUNCION,PENDIENTE,0,0,Soldado Paraguayo 1896  esq. San Salvador,BALDIO,VIVIENDA ,MAT 23533. Finca 1741,12-0814-10,EN GESTION JUDICIAL,0,0,0,DESIDERIO CORONEL, N/A ,0,EN PROCESO JUDICIAL,0,0/1/00,0,A,359.8,0,0,300,217.688.300,116.935.000,334.623.300,235.858.000,2024-01-26,2024-01-27
RENTA,19,0,18,CAPITAL,ASUNCION,PENDIENTE,0,0,Montevideo 1.025  c/ Manduvira,BALDIO,VIVIENDA ,MAT 14812-U-A01. Finca 260,10-0474-18,EN GESTION JUDICIAL,0,0,0,FALSO, N/A ,0,EN PROCESO JUDICIAL ,0,0/1/00,0,A,457,0,0,280,247.697.600,198.728.800,446.426.400,446.426.400,2024-01-26,2024-01-27
RENTA,20,0,19,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,VIVIENDA ,Mat16609-U-A03,12-0847-09,DISPONIBLE,0,0,0,DISPONIBLE,0,0,RECEPCION DEL INMUEBLE POR ACTA EN FECHA 25/04/2017,0,0/1/00,0,A,936.9,0,0,250,150.000.000,402.926.000,552.926.000,0,2024-01-26,2024-01-27
RENTA,22,0,21,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,VIVIENDA  RES.UNIV.,1.154,12-310-11,ALQUILADO,0,0,0,ASOCIACION NACIONAL REPUBLICANA (ANR), Gs 13.215.696 ,0,RCA. 105-004/15,FALSO,1/1/16, 31/12/2017,A,1.930.78,0,0,1.444.45,652.228.258,2.803.608.036,3.455.836.294,0,2024-01-26,2024-01-27
RENTA,23,0,22,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,6.803,12-310-17,EN GESTION JUDICIAL,0,0,0,FALSO, N/A ,0,REMITIDO A JURIDICO. SE ANALIZA CONVENIO CON LA MUNICIPALIDAD,0,0/1/00,0,A,840,0,0,100,1.070.824,1.547.825.269,1.548.896.093,0,2024-01-26,2024-01-27
RENTA,24,0,23,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,7.404,12-310-21,EN GESTION JUDICIAL,0,0,0,FALSO, N/A ,0,REMITIDO A JURIDICO. SE ANALIZA CONVENIO CON LA MUNICIPALIDAD,0,0/1/00,0,A,420,0,0,324.44,29.204.250,837.188.509,866.392.759,0,2024-01-26,2024-01-27
RENTA,25,0,24,CAPITAL,ASUNCION,PENDIENTE,0,0,GASPAR R. DE FRANCIA  E/ TACUARY,BALDIO,SALONES y  VIVIENDAS,480,12-0201-11,ALQUILADO,0,0,0,RAFAEL VILLALBA LOPEZ, Gs 3.868.825 ,0,RCA. 105-006/15,FALSO,1/1/16,12/31/2017,A,351.52,0,0,401,232.610.000,217.942.400,450.552.400,148.946.000,2024-01-26,2024-01-27
RENTA,26,0,25,CAPITAL,ASUNCION,PENDIENTE,0,0,MAYOR MERLO C/ BASILIO LOPEZ,BALDIO,BALDIO,12.825,14-988-24,REMITIDO A CONSEJO PARA RECONSIDERACION DEL CANON,0,0,0,ALICIA FABIOLA AMARILLA FLORENTIN, Gs 700.000 ,0,CONTRATO 017/014 VENCIDO  EL   31/12/2014. EN PROCESO DE RENOVACION,FALSO,EN PROCESO DE RENOVACION,EN PROCESO DE RENOVACION,A,450,0,0,0,0,223.899.253,223.899.253,0,2024-01-26,2024-01-27
RENTA,27,0,26,CAPITAL,ASUNCION,PENDIENTE,0,0,MARISCAL LOPEZ y CRUZ del DEFENSOR,BALDIO,CONJUNTO HETEROGENEO,3.152,14-0088-00,ALQUILADO,0,0,0,DIGITAL ENTERTAINMENT S.R.L., Gs 72.302.814 ,0,RCA. 029-040/06. ADENDA 099-018/08. ADENDA 062-026/16 CONTRATO SIN NUMERO,S/N,1/6/06, 31/05/2026,A,7.499.60,0,0,1.828.66,8.601.222.064,14.999.200.000,23.600.422.064,0,2024-01-26,2024-01-27
RENTA,0,2,0,0,ASUNCION,PENDIENTE,0,0,TTE. ROCHOLL c/AUTOPISTA Lote 2,BALDIO,SUB 1 COMERCIO DE PLANTAS  ,8658,LOTE 2,ALQUILADO,0,0,0,CEPRIANA TORRES BARRETO , Gs 2.784.100 ,0,RCA 105-019/16,FALSO,1/1/17, 30/06/2017,A,0,0,691.14,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,0,3,0,0,ASUNCION,PENDIENTE,0,0,TTE. ROCHOLL c/AUTOPISTA . Lote 3,BALDIO,SUB 2  COMERCIO DE PLANTAS  ,8658,LOTE 3,ALQUILADO,0,0,0,AURELIO SIMON MEZA CHAMORRO, Gs 6.467.968 ,0,RCA 105-019/16,FALSO,1/1/17, 30/06/2017,A,0,0,1.077.72,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,0,4,0,0,ASUNCION,PENDIENTE,0,0,TTE. ROCHOLL c/AUTOPISTA   lote 4,BALDIO,SUB 3 COMERCIO DE PLANTAS  ,8658,LOTE 4,EN GESTION JUDICIAL,0,0,0,TOMAS EDUARDO ESCAURIZA, N/A ,0,EN PROCESO JUDICIAL,0,0/1/00,0,A,0,0,2.769.82,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,0,5,0,0,ASUNCION,PENDIENTE,0,0,TTE. ROCHOLL c/AUTOPISTA  Lote 5,BALDIO,SUB 4  COMERCIO DE PLANTAS  ,8658,LOTE 5,ALQUILADO,0,0,0,CARLOS RUBEN OVIEDO CENTURION, Gs 5.830.500 ,0,RCA 105-019/16,FALSO,1/1/17, 30/06/2017,A,0,0,1.244.46,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,0,6,0,0,ASUNCION,PENDIENTE,0,0,TTE. ROCHOLL c/AUTOPISTALote 6,BALDIO,SUB 5  COMERCIO DE PLANTAS  ,8658,LOTE 6,ALQUILADO,0,0,0,CARLOS RUBEN OVIEDO CENTURION, Gs 4.225.000 ,0,RCA 105-019/16 ,FALSO,1/1/17, 30/06/2017,A,0,0,1.203.29,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,0,7,0,0,ASUNCION,PENDIENTE,0,0,TTE. ROCHOLL c/AUTOPIST  lote 7,BALDIO,SUB 6  COMERCIO DE PLANTAS  ,8658,LOTE 7,EN GESTION JUDICIAL,0,0,0,ELADIO TORRES Y ZUNILDA PAVON, N/A ,0,EN PROCESO JUDICIAL,0,0/1/00,0,A,0,0,1.187.13,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,0,8,0,0,ASUNCION,PENDIENTE,0,0,TTE. ROCHOLL c/AUTOPISTA Lote 08,BALDIO,SUB 7  COMERCIO DE PLANTAS  ,8658,LOTE 8,ALQUILADO,0,0,0,MIRIAN JACOBSON IHLENFELD VDA. DE OVIEDO , Gs 4.295.135 ,0,RCA 105-019/16,FALSO,1/1/17, 30/06/2017,A,0,0,1.425.11,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,0,9,0,0,ASUNCION,PENDIENTE,0,0,TTE. ROCHOLL c/AUTOPISTA  Lote 9,BALDIO,SUB 8  COMERCIO DE PLANTAS  ,8658,LOTE 9,ALQUILADO,0,0,0,MARIA ESTHER  HERBEN TROCHE, Gs 5.415.436 ,0,RCA 105-019/16,FALSO,1/1/17, 30/06/2017,A,0,0,1.572.38,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,0,10,0,0,ASUNCION,PENDIENTE,0,0,TTE. ROCHOLL c/AUTOPISTA  lote 10,BALDIO,SUB 9 COMERCIO DE PLANTAS  ,8658,LOTE 10,EN GESTION JUDICIAL,0,0,0,ELISA ESQUIVEL MARECO, Gs 1.581.000 ,0,EN PROCESO JUDICIAL,0,0/1/00,0,A,0,0,164.32,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,0,11,0,0,ASUNCION,PENDIENTE,0,0,TTE. ROCHOLL c/AUTOPISTA Lote 11,BALDIO,SUB 10 COMERCIO DE PLANTAS  ,8658,LOTE 11,ALQUILADO,0,0,0,SILVINO VILLAMAYOR LOPEZ, Gs 2.354.000 ,0,RCA 105-019/16,FALSO,1/1/17, 30/06/2017,A,0,0,766.27,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,0,12,0,0,ASUNCION,PENDIENTE,0,0,TTE. ROCHOLL c/AUTOPISTA  lote 12,BALDIO,SUB 11  COMERCIO DE PLANTAS  ,8658,LOTE 12,FALSO,0,0,0,VICTOR RAUL GONZALEZ,0,0,EN PROCESO JUDICIAL,0,0/1/00,0,A,0,0,1.014.80,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,0,13,0,0,ASUNCION,PENDIENTE,0,0,TTE. ROCHOLL c/AUTOPISTA  Lote 13,BALDIO,SUB 12  COMERCIO DE PLANTAS  ,8658,LOTE 13,ALQUILADO,0,0,0,OSVALDO RAMON SANTA CRUZ TRINIDAD, Gs 2.223.364 ,0,RCA 105-019/16,FALSO,1/1/17, 30/06/2017,A,0,0,699.51,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,0,14,0,0,ASUNCION,PENDIENTE,0,0,TTE. ROCHOLL c/AUTOPISTA Lote 14,BALDIO,SUB 13  COMERCIO DE PLANTAS  ,8658,LOTE 14,ALQUILADO,0,0,0,PETRONA TORRES, Gs 5.408.000 ,0,RCA 105-019/16,FALSO,1/1/17, 30/06/2017,A,0,0,2.079.13,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,29,15,29,CAPITAL,ASUNCION,PENDIENTE,0,0,CNEL. SILVA c/ TTE. ROCHOLL - Lote 15,BALDIO,SUB 1 OFICINAS ADMNISTRATIVAS,19.436,LOTE 15,ALQUILADO,0,0,0,A.P.A.C. -ASO.  DE PADRES  DEL COLEGIO GOETHE , Gs 4.968.600 ,0,RCA 105-019/16,FALSO,1/1/17, 30/06/2017,A,0,0.00 ,1.456.14,321.8,0,0,0,0,2024-01-26,2024-01-27
RENTA,30,1,0,0,ASUNCION,PENDIENTE,0,0, TTE. ROCHOLL E/ CNEL. SILVA- Lote 01 ,BALDIO,SUB 2 COMERCIO DE PLANTAS  ,19.436,LOTE 1,ALQUILADO,0,0,0,MIGUEL ANGEL CROSA YELSI,Gs.6.802.250,0,RCA 105-019/16,FALSO,1/1/17, 30/06/2017,A,0,0,3.704.20,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,0,0,0,0,ASUNCION,PENDIENTE,0,0,MADAME LYNCH C/ AUTOPISTA,BALDIO,SUB 1 COMERCIAL,24.633,14-336-83,ALQUILADO,0,0,0,MIGUEL ANGEL DUARTE CACERES, Gs 4.233.125 ,0,RCA 106-009/16,FALSO,1/1/17, 31/12/18,A,0,0,2.399.29,148.88,0,0,0,0,2024-01-26,2024-01-27
RENTA,0,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,MADAME LYNCH C/ AUTOPISTA,BALDIO,SUB 2  COMERCIAL,24.633,14-336-83,DISPONIBLE,0,0,0,DISPONIBLE,0,0,0,0,0/1/00,0,A,0,0,6.166.71,254.94,0,0,0,0,2024-01-26,2024-01-27
RENTA,32,0,31,CAPITAL,ASUNCION,PENDIENTE,0,0,AVDA. SAN MARTIN Y SUCRE,BALDIO,EX CENTRO SOCIAL RECREATIVO ,6.532,14-0718-04,DISPONIBLE,0,0,0,DISPONIBLE,0,0,0,0,0/1/00,0,A,20.088.78,2,0,412,816.240.000,61.873.429.772,62.689.669.772,0,2024-01-26,2024-01-27
RENTA,33,0,32,CAPITAL,ASUNCION,PENDIENTE,0,0,AVDA. SAN MARTIN Y SUCRE,BALDIO,EX CENTRO SOCIAL RECREATIVO ,7.571,14-718-01,DISPONIBLE,0,0,0,DISPONIBLE,0,0,0,0,0/1/00,0,A,482.81,0,0,0,0,1.487.054.800,1.487.054.800,0,2024-01-26,2024-01-27
RENTA,34,0,0, ,ASUNCION,PENDIENTE,0,0,AVDA. SAN MARTIN Y SUCRE,BALDIO,EX CENTRO SOCIAL RECREATIVO ,7.571,14-718-02,DISPONIBLE,0,0,0,DISPONIBLE,0,0,0,0,0/1/00,0,A,400,0,0,0,0,1.232.000.000,1.232.000.000,0,2024-01-26,2024-01-27
RENTA,35,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,AVDA. SAN MARTIN Y SUCRE,BALDIO,EX CENTRO SOCIAL RECREATIVO ,7.571,14-718-03,DISPONIBLE,0,0,0,DISPONIBLE,0,0,0,0,0/1/00,0,A,450.88,0,0,0,0,1.388.710.400,1.388.710.400,0,2024-01-26,2024-01-27
RENTA,36,0,33,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,DEPOSITO,14.366,12-223-68,EN GESTION JUDICIAL,0,0,0,CARLOS RAUL RUIZ DIAZ, N/A ,0,EN PROCESO JUDICIAL,0,0/1/00,0,A,132.86,0,0,40.58,2.920.424,124.604.801,127.525.225,0,2024-01-26,2024-01-27
RENTA,37,0,34,CAPITAL,ASUNCION,PENDIENTE,0,0,Herminio Gimenez c/ Choferes del Chaco,BALDIO,FALSO,10.288,12-1065-08,OCUPACION IRREGULAR,0,0,0,FALSO, N/A ,0,EN PROCESO JUDICIAL,0,0/1/00,0,A,463.87,0,0,20,5.840.850,266.732.153,272.573.003,0,2024-01-26,2024-01-27
RENTA,38,0,35,CAPITAL,ASUNCION,PENDIENTE,0,0,ITAPUA y 1er. PRESIDENTE,BALDIO,FALSO,1.023,15-183-05,ALQUILADO + INV,1.949.250.000,0,1.949.250.000,METZEN S.A., Gs 4.152.923 ,0,RCA042-028/08  ABONA EL CANON DE Gs. 4.152.923 POR FINCA 1023 Y 1118.,S/N,1/7/08, 30/06/27,A,9.227.85,0,0,0,0,12.071.947.756,12.071.947.756,0,2024-01-26,2024-01-27
RENTA,39,0,36,CAPITAL,ASUNCION,PENDIENTE,0,0,ITAPUA y 1er. PRESIDENTE,BALDIO,FALSO,1.118,15-183-06,ALQUILADO + INV,0,0,0,METZEN S.A.,0,0,0,S/N,1/7/08, 30/06/27,A,1.788.15,0,0,0,0,2.339.272.244,2.339.272.244,0,2024-01-26,2024-01-27
RENTA,41,0,38,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,2.591,15-039-08,DISPONIBLE,0,0,0,DIPONIBLE,0,0,0,0,0/1/00,0,A,362.25,0,0,0,0,135.990.123,135.990.123,0,2024-01-26,2024-01-27
RENTA,42,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,2.591,15-039-48,DISPONIBLE,0,0,0,DIPONIBLE,0,0,0,0,0/1/00,0,A,310,0,0,0,0,116.375.260,116.375.260,0,2024-01-26,2024-01-27
RENTA,43,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,2.591,15-039-49,DISPONIBLE,0,0,0,DIPONIBLE,0,0,0,0,0/1/00,0,A,310,0,0,0,0,116.375.260,116.375.260,0,2024-01-26,2024-01-27
RENTA,44,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,2.591,15-039-50,DISPONIBLE,0,0,0,DIPONIBLE,0,0,0,0,0/1/00,0,A,329.4,0,0,0,0,123.658.099,123.658.099,0,2024-01-26,2024-01-27
RENTA,45,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,2.591,15-039-51,DISPONIBLE,0,0,0,DIPONIBLE,0,0,0,0,0/1/00,0,A,349.68,0,0,0,0,131.271.294,131.271.294,0,2024-01-26,2024-01-27
RENTA,46,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,2.591,15-039-53,DISPONIBLE,0,0,0,DIPONIBLE,0,0,0,0,0/1/00,0,A,387.25,0,0,0,0,145.375.224,145.375.224,0,2024-01-26,2024-01-27
RENTA,47,0,39,CAPITAL,ASUNCION,PENDIENTE,0,0,TTE. 2 CANDIA Y TTE. 1 INSFRAN - Stma. Trinidad ,BALDIO,FALSO,303505-U-A06,15-796-04,DISPONIBLE,0,0,0,DISPONIBLE,N/A,0,N/A,0,0/1/00,0,A,758.15,0,0,0,0,172.487.148,172.487.148,0,2024-01-26,2024-01-27
RENTA,48,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,TTE. 2 CANDIA Y TTE. 1 INSFRAN - Stma. Trinidad ,BALDIO,FALSO,303506-U-A06,15-796-03,DISPONIBLE,0,0,0,DISPONIBLE,N/A,0,N/A,0,0/1/00,0,A,625.5,0,0,0,0,142.307.870,142.307.870,0,2024-01-26,2024-01-27
RENTA,49,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,TTE. 2 CANDIA Y TTE. 1 INSFRAN - Stma. Trinidad ,BALDIO,FALSO,303507-U-A06,15-796-02,DISPONIBLE,0,0,0,DISPONIBLE,N/A,0,N/A,0,0/1/00,0,A,664.2,0,0,0,0,151.112.529,151.112.529,0,2024-01-26,2024-01-27
RENTA,50,0,40,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,LOTEAMIENTO  FATIMA SAN JORGE,1.266,15-060-22,EN GESTION JUDICIAL,0,0,0,OCUPANTES PRECARIOS, N/A ,0,EN PROCESO JUDICIAL,0,0/1/00,0,A,52.235.75, 5.22 ,0,0,0,1.734.228.547,1.734.228.547,0,2024-01-26,2024-01-27
RENTA,56,0,42,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,1.381, 15-373-08,EN GESTION JUDICIAL,0,0,0,GLORIA FIGUEREDO, N/A ,0,EN PROCESO JUDICIAL,0,0/1/00,0,A,788,0,0,90.3,55.240.896, 211.431.832.51 ,266.672.728,0,2024-01-26,2024-01-27
RENTA,57,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,1.381,15-373-09,EN GESTION JUDICIAL,0,0,0,MARIA APARECIDA DELGADILLO ZALDIVAR, Gs 850.000 ,0,CONTRATO 022/2013. PAGO DEL CANON UNA PARTE G . 850.000..  Y LA OTRA EN COMPENSACION DE MEJORAS. SE DESCUENTA MENSUAL G. 418.168 POR 60 MESES,FALSO,?,?,A,752,0,0,166.5,101.856.137, 201.772.510.21 ,303.628.647,0,2024-01-26,2024-01-27
RENTA,59,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,1.381,15-373-11,ALQUILADO,0,0,0,GLADYS DA SILVA MELLO MENDEZ, Gs 1.083.680 ,0,RCA 066-015/16. CONTRATO 022/14. VIGENTE HASTA 31/12/2016,FALSO,?,31/12/16,A,752,0,0,97.52,59.657.721, 201.772.510.21 ,261.430.231,0,2024-01-26,2024-01-27
RENTA,60,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,1.381,15-373-01,ALQUILADO,0,0,0,CARMEN DOLORES GOMEZ SANCHEZ, Gs 881.758 ,0,RCA 066-015/16. CONTRATO VIGENTE AL 31/12/2016 ,?,?,31/12/16,A,752,0,0,80.6,49.306.935, 201.772.510.21 ,251.079.445,0,2024-01-26,2024-01-27
RENTA,61,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,1.381,15-373-02,EN GESTION JUDICIAL,0,0,0,ROBERTO LUIS PERONI, N/A ,0,EN PROCESO JUDICIAL,EN PROCESO JUDICIAL,0,0,A,752,0,0,78.99,48.322.020, 201.772.510.21 ,250.094.530,0,2024-01-26,2024-01-27
RENTA,62,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,1.381,15-373-03,ALQUILADO,0,0,0,NELLY BRITEZ REYES, Gs 1.094.546 ,0,RCA 106-017/14. CONTRATO 01/15 VIGENTE HASTA 31/05/2016,?,?,1/5/16,A,752,0,0,104.4,63.866.551, 201.772.510.21 ,265.639.061,0,2024-01-26,2024-01-27
RENTA,63,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,1.381,15-373-04,ALQUILADO,0,0,0,BLANCA VIRGINIA FRANCO ACOSTA, Gs 701.000 ,0,RCA 057/040/12. CONTRATO 70/12 VIGENTE HASTA 30/06/2017,FALSO,?,30/6/17,A,752,0,0,108.96,66.656.124, 201.772.510.21 ,268.428.635,0,2024-01-26,2024-01-27
